rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_duration,koi_depth,koi_prad,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad
4989,8812045,K03481.01,,CANDIDATE,CANDIDATE,0.999,10.79,1.36E+02,3.68,1,5527,3.627,3.192
4990,7288444,K03482.01,,CANDIDATE,CANDIDATE,0.719,5.467,1.79E+02,1.91,1,5726,4.228,1.285
4991,3101923,K03483.01,,CANDIDATE,CANDIDATE,0.771,8.664,2.83E+02,2.08,1,5997,4.304,1.242
4992,10881457,K03484.01,Kepler-1510 b,CONFIRMED,CANDIDATE,0.966,10.393,6.56E+02,4.17,1,6085,4.115,1.634
4993,5513861,K07731.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.02374,2.50E+05,76.26,1,6592,4.369,1.19
4994,9948002,K03562.01,,FALSE POSITIVE,FALSE POSITIVE,0,17.8951,7.28E+04,44,1,6309,4.413,1.062
4995,5264304,K03563.01,,FALSE POSITIVE,FALSE POSITIVE,0,8.2904,1.93E+05,41.71,1,5294,4.651,0.673
4996,10960995,K03564.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.3727,2.26E+05,35.12,1,4868,4.582,0.708
4997,9592575,K03565.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.9626,1.70E+05,76.02,1,5639,4.509,0.953
4998,7898576,K03566.01,,FALSE POSITIVE,FALSE POSITIVE,0,8.73607,2.18E+05,54.24,1,6444,4.382,1.134
4999,11671429,K03567.01,,FALSE POSITIVE,FALSE POSITIVE,0,31.8273,2.42E+05,129.04,1,7426,3.903,2.463
5000,5621333,K03341.01,,CANDIDATE,CANDIDATE,0.985,8.42,2.08E+02,2.13,1,5775,4.193,1.352
5001,5621333,K03341.02,,CANDIDATE,CANDIDATE,0.937,6.684,1.16E+02,1.48,2,5775,4.193,1.352
5002,5392897,K03342.01,,FALSE POSITIVE,FALSE POSITIVE,0,18.3609,2.06E+05,44.7,1,6153,4.487,0.962
5003,3236705,K03343.01,,CANDIDATE,CANDIDATE,0.864,2.813,6.20E+02,2.89,1,5538,4.266,1.18
5004,5282049,K01545.02,,FALSE POSITIVE,FALSE POSITIVE,0,3.85,,,2,,,
5005,11810124,K03344.01,,CANDIDATE,CANDIDATE,0.999,3.409,2.68E+02,1.88,2,5533,4.275,1.166
5006,6023859,K03414.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.96698,6.79E+04,22.32,1,3900,4.727,0.534
5007,3433668,K03415.01,Kepler-1493 b,CONFIRMED,CANDIDATE,1,5.068,9.69E+01,1.77,1,5831,4.162,1.382
5008,2849140,K03416.01,,CANDIDATE,CANDIDATE,0.893,8.518,2.13E+02,1.25,1,5559,4.578,0.803
5009,3629330,K03418.01,Kepler-1495 b,CONFIRMED,CANDIDATE,0.67,13.31,7.68E+02,3.85,1,5922,4.349,1.057
5010,5471289,K03485.01,,FALSE POSITIVE,FALSE POSITIVE,0,29.1701,4.10E+02,2.66,1,5952,4.489,0.971
5011,8121328,K03486.01,,CANDIDATE,CANDIDATE,1,12.462,1.69E+02,1.63,1,5418,4.436,0.889
5012,9783760,K03487.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.26371,8.11E+04,38.01,1,5777,4.608,0.747
5013,9528430,K03489.01,,FALSE POSITIVE,FALSE POSITIVE,0,19.7301,4.33E+04,49.2,1,6523,3.835,2.343
5014,5529552,K07732.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.824,5.74E+01,0.64,1,5481,4.574,0.815
5015,8882847,K03490.01,,FALSE POSITIVE,FALSE POSITIVE,0,8.479,1.78E+02,37.39,1,6200,4.135,1.449
5016,9773869,K03568.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.7631,3.99E+05,78.3,1,6137,4.418,1.103
5017,6707942,K03569.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.76441,3.41E+04,15.49,1,4842,4.573,0.73
5018,5023948,K03570.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.25512,1.77E+05,55.44,1,6413,4.372,0.941
5019,5113053,K03571.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.80188,4.23E+05,92.5,1,6516,4.249,1.279
5020,5817957,K07742.01,,FALSE POSITIVE,FALSE POSITIVE,0,23.27,1.16E+03,3.66,1,5800,4.514,0.894
5021,11853878,K01833.03,Kepler-968 c,CONFIRMED,CANDIDATE,0.999,1.622,5.87E+02,1.51,3,4402,4.682,0.572
5022,4743508,K03572.01,,CANDIDATE,CANDIDATE,0.692,2.4032,5.89E+04,1543.74,1,6124,4.265,1.119
5023,11810124,K03344.02,Kepler-1471 b,CONFIRMED,CANDIDATE,0.972,2.252,2.10E+02,1.68,1,5533,4.275,1.166
5024,11303322,K03345.01,Kepler-1472 b,CONFIRMED,CANDIDATE,1,6.53,1.80E+02,1.54,1,6370,4.41,1.106
5025,11241912,K03346.01,Kepler-1473 b,CONFIRMED,CANDIDATE,0.999,4.857,1.17E+02,1.53,1,5929,4.403,1.04
5026,6043538,K07759.01,,CANDIDATE,CANDIDATE,0.996,4.388,1.09E+02,1.92,1,6263,4.024,1.726
5027,8824737,K03347.01,,CANDIDATE,CANDIDATE,0.96,2.446,3.54E+02,1.49,1,5530,4.586,0.788
5028,9349757,K03348.01,Kepler-1474 b,CONFIRMED,CANDIDATE,0.94,4.388,4.07E+02,2.2,1,5566,4.329,1.099
5029,11519134,K03419.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.5939,7.55E+04,149.98,1,6379,3.925,1.994
5030,7289338,K03420.02,,CANDIDATE,CANDIDATE,0.969,3.882,2.20E+02,2.24,1,5821,4.127,1.492
5031,5004909,K03421.01,,FALSE POSITIVE,FALSE POSITIVE,0.135,11.282,1.36E+02,1.7,1,6297,4.26,1.369
5032,6278670,K07775.01,,CANDIDATE,CANDIDATE,0.571,2.286,3.36E+02,3.46,2,5115,3.819,1.924
5033,5898983,K03422.01,,FALSE POSITIVE,FALSE POSITIVE,0.365,5.2,3.11E+02,13.01,1,7852,3.159,7.162
5034,7703955,K01707.02,Kepler-315 c,CONFIRMED,CANDIDATE,0.995,10.28,1.04E+03,4.2,2,5792,4.375,1.005
5035,8552719,K01792.02,,FALSE POSITIVE,FALSE POSITIVE,0,7.998,4.94E+01,0.77,3,5611,4.388,1.073
5036,12164634,K03491.01,,FALSE POSITIVE,FALSE POSITIVE,0,11.919,2.18E+03,8.02,1,6860,4.233,1.467
5037,5193077,K03492.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.188,1.01E+02,1.5,1,5915,4.223,1.392
5038,5617259,K07733.01,,FALSE POSITIVE,FALSE POSITIVE,0.139,5.6707,1.92E+02,4.52,1,7673,3.679,3.214
5039,8880123,K03493.01,,CANDIDATE,CANDIDATE,0.998,7.259,3.46E+02,2.03,1,5856,4.386,1.092
5040,9474756,K03495.01,,CANDIDATE,CANDIDATE,0.924,6.134,1.46E+02,1.72,1,5808,4.326,1.159
5041,10068919,K03573.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.6873,5.13E+04,80.02,1,6411,4.307,1.216
5042,7353970,K03574.01,,FALSE POSITIVE,FALSE POSITIVE,0,9.9776,3.99E+04,41.72,1,5420,4.502,0.868
5043,12316447,K03575.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.58652,2.65E+05,282.86,1,6173,4.447,1.041
5044,5823557,K07743.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.575,4.27E+01,0.85,1,6398,4.276,1.249
5045,10491554,K03576.01,,FALSE POSITIVE,FALSE POSITIVE,0,8.3476,3.25E+05,104.17,1,6049,4.067,1.557
5046,9785454,K03577.01,,FALSE POSITIVE,FALSE POSITIVE,0,15.3564,4.93E+04,23.38,1,5341,4.514,0.776
5047,8636333,K03349.01,Kepler-1475 b,CONFIRMED,CANDIDATE,0.967,8.664,5.46E+02,2.24,1,6247,4.489,0.954
5048,7136958,K03350.01,,FALSE POSITIVE,FALSE POSITIVE,0,7.19844,7.14E+04,1183.06,1,5783,4.415,0.941
5049,1995732,K03351.01,,FALSE POSITIVE,FALSE POSITIVE,0,12.1317,9.66E+04,41.66,1,5359,4.57,0.79
5050,6069674,K07761.01,,FALSE POSITIVE,FALSE POSITIVE,0.253,4.514,4.43E+02,4.41,1,6054,3.911,1.953
5051,8081239,K03352.01,Kepler-1476 b,CONFIRMED,CANDIDATE,0.998,2.577,2.74E+02,1.68,1,5893,4.423,1.02
5052,5308663,K01562.02,,CANDIDATE,CANDIDATE,0.776,5.236,4.82E+02,2.25,2,5997,4.522,0.904
5053,3745559,K03423.01,,CANDIDATE,CANDIDATE,1,2.134,5.76E+02,2.8,1,6277,4.402,1.161
5054,8356054,K03424.01,,FALSE POSITIVE,FALSE POSITIVE,0,7.20617,1.34E+05,39.24,1,5431,4.623,0.708
5055,9117416,K03425.01,,CANDIDATE,CANDIDATE,0.995,6.49,1.24E+02,2.24,1,6120,3.934,2
5056,6356400,K07776.01,,CANDIDATE,CANDIDATE,0.74,21.4,1.50E+03,3.15,1,4378,4.64,0.614
5057,9117416,K03425.02,,CANDIDATE,CANDIDATE,0.953,3.762,4.97E+01,1.41,2,6120,3.934,2
5058,5900235,K03426.01,,FALSE POSITIVE,FALSE POSITIVE,0.393,6.995,2.24E+02,1.57,1,6158,4.397,1.013
5059,9474756,K03495.02,,CANDIDATE,CANDIDATE,0.905,5.09,8.92E+01,1.25,2,5808,4.326,1.159
5060,7517261,K03496.01,Kepler-1511 b,CONFIRMED,CANDIDATE,0.997,8.432,1.61E+02,2.18,1,6602,4.108,1.685
5061,7517261,K03496.02,,CANDIDATE,CANDIDATE,0.994,6.149,7.51E+01,1.58,2,6602,4.108,1.685
5062,5653795,K07734.01,,FALSE POSITIVE,FALSE POSITIVE,0.23,4.79,2.16E+02,7.23,2,6190,3.34,4.763
5063,8424002,K03497.01,Kepler-1512 b,CONFIRMED,CANDIDATE,1,2.1521,3.46E+02,0.8,1,3419,4.904,0.344
5064,8635938,K03498.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.401,2.90E+02,48.52,1,5611,3.842,2.227
5065,10464666,K03578.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.28476,5.84E+04,54.38,1,5102,3.962,1.669
5066,5024292,K03579.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.65214,2.04E+05,93.01,1,6386,4.208,1.548
5067,4659255,K03580.01,,FALSE POSITIVE,FALSE POSITIVE,0,9.72673,1.43E+05,38.49,1,5359,4.566,0.708
5068,5877292,K07744.01,,CANDIDATE,CANDIDATE,0.592,2.399,1.54E+02,1.34,1,6193,4.434,1.067
5069,10657406,K01837.02,Kepler-969 c,CONFIRMED,CANDIDATE,1,1.8846,1.43E+02,1.06,2,5201,4.573,0.834
5070,3428468,K03582.01,,FALSE POSITIVE,FALSE POSITIVE,0,7.66397,1.96E+05,42.78,1,4412,4.565,0.737
5071,7091432,K03353.01,Kepler-1477 b,CONFIRMED,CANDIDATE,1,3.499,2.50E+02,1.7,1,5149,4.506,0.803
5072,9845909,K03354.01,,CANDIDATE,CANDIDATE,0.937,3.073,2.12E+02,1.33,1,5718,4.479,0.9
5073,9221528,K03355.01,,CANDIDATE,CANDIDATE,0.999,4.882,2.29E+02,1.6,1,6187,4.432,1.013
5074,6368230,K03356.01,Kepler-1478 b,CONFIRMED,CANDIDATE,0.996,6.141,2.60E+02,1.35,1,6083,4.563,0.835
5075,7115291,K03357.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.6184,5.21E+04,75.82,1,5835,4.492,0.901
5076,9907505,K03427.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.24701,1.87E+05,50.2,1,5945,4.545,0.861
5077,9027909,K03428.01,Kepler-1496 b,CONFIRMED,CANDIDATE,0.988,7.71,2.35E+02,2.12,1,5821,4.172,1.395
5078,9230021,K03429.01,,CANDIDATE,CANDIDATE,0.892,3.643,2.28E+02,1.8,2,5596,4.298,1.145
5079,6369845,K07777.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.234,2.67E+02,5.15,1,5123,3.442,3.224
5080,9230021,K03429.02,Kepler-1497 b,CONFIRMED,CANDIDATE,0.993,4.235,2.96E+02,1.94,1,5596,4.298,1.145
5081,9230021,K03429.03,,FALSE POSITIVE,FALSE POSITIVE,,4.969,2.47E+02,1.57,,5878,4.442,0.998
5082,3662838,K00302.02,,FALSE POSITIVE,FALSE POSITIVE,,3.62,,,,,,
5083,5471688,K03499.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.79,1.31E+02,0.85,1,5940,4.621,0.729
5084,8552719,K01792.03,Kepler-953 c,CONFIRMED,CANDIDATE,0.991,5.3181,1.26E+02,1.32,2,5611,4.388,1.073
5085,5471688,K03499.02,,FALSE POSITIVE,FALSE POSITIVE,,2.947,9.63E+01,0.74,3,5955,4.617,0.733
5086,6058816,K03500.01,,CANDIDATE,CANDIDATE,0.93,13.309,2.33E+02,3.78,1,6056,3.797,2.481
5087,6058816,K03500.02,,CANDIDATE,CANDIDATE,0.979,4.947,3.56E+01,1.57,2,6056,3.797,2.481
5088,5130740,K03583.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.68665,4.65E+04,101.13,1,7591,4.05,2.017
5089,9892471,K03584.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.47103,7.15E+04,50.31,1,5749,4.502,0.922
5090,2019076,K03585.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.44204,9.43E+04,46,1,5891,4.45,0.892
5091,7376490,K03586.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.7369,1.56E+04,45.95,1,5778,4.325,1.043
5092,11968513,K03587.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.40749,1.25E+05,463.05,1,4884,2.737,8.747
5093,4263529,K03358.01,,CANDIDATE,CANDIDATE,1,1.0022,1.32E+03,4.05,1,5530,4.541,0.831
5094,7866921,K03360.01,,FALSE POSITIVE,FALSE POSITIVE,0,19.5818,6.55E+04,21.86,1,5263,4.572,0.774
5095,6619815,K03361.01,,CANDIDATE,CANDIDATE,0.484,7.776,5.80E+02,2.33,1,5982,4.493,0.96
5096,3098197,K03362.01,,FALSE POSITIVE,FALSE POSITIVE,0,17.9728,1.31E+05,43.01,1,5913,4.585,0.787
5097,11651712,K03363.01,Kepler-1479 b,CONFIRMED,CANDIDATE,0.997,2.4212,3.29E+02,1.69,1,6003,4.507,0.932
5098,9896558,K01718.02,Kepler-937 c,CONFIRMED,CANDIDATE,0.992,12.205,3.88E+02,2.14,2,6127,4.356,1.08
5099,7697103,K03430.01,,CANDIDATE,CANDIDATE,0.729,5.016,1.95E+02,0.9,1,5271,4.669,0.648
5100,9267996,K03431.01,,FALSE POSITIVE,FALSE POSITIVE,0,8.613,2.82E+02,2.08,1,6003,4.507,0.932
5101,7045605,K07808.01,,FALSE POSITIVE,FALSE POSITIVE,0.169,6.947,5.25E+02,5.7,2,7196,4.064,1.923
5102,8738775,K03432.01,Kepler-1498 b,CONFIRMED,CANDIDATE,0.996,7.999,2.75E+02,2.36,1,5332,4.083,1.453
5103,7093401,K03433.01,,CANDIDATE,CANDIDATE,0.999,1.3521,3.75E+03,36.05,1,5252,4.428,0.922
5104,7877818,K03816.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.3064,1.21E+03,75.22,2,5092,3.689,2.664
5105,5636642,K03817.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.41864,1.43E+04,48.01,1,5758,4.307,1.084
5106,6515722,K03818.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.169,2.19E+02,3.74,3,9174,4.013,2.471
5107,6679504,K07788.01,,FALSE POSITIVE,FALSE POSITIVE,0.02,0.86,1.21E+02,0.82,1,5575,4.557,0.733
5108,5560831,K03819.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.8783,9.77E+04,67,1,5510,4.186,1.276
5109,5305404,K03820.01,,FALSE POSITIVE,FALSE POSITIVE,0,23.626,2.91E+03,5.04,1,5985,4.574,0.811
5110,3728432,K03893.01,Kepler-1526 b,CONFIRMED,CANDIDATE,1,1.7704,8.67E+02,1.86,1,4518,4.613,0.653
5111,6696580,K02092.03,Kepler-359 d,CONFIRMED,CANDIDATE,0.783,4.77,9.43E+02,29.77,3,6228,4.441,1.049
5112,5473535,K03894.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.3135,3.16E+02,23.42,1,6444,4.433,1.053
5113,12106934,K03895.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.355,2.55E+04,594.32,1,5780,4.438,1
5114,6222898,K03896.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.596,1.95E+02,1.24,1,5646,4.449,0.896
5115,3955866,K03897.01,,FALSE POSITIVE,FALSE POSITIVE,,39.098,6.55E+02,2.66,,5575,4.496,0.972
5116,11200767,K03667.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.4345,2.83E+03,59.57,1,6184,4.138,1.406
5117,9892816,K01955.03,Kepler-342 e,CONFIRMED,CANDIDATE,1,2.9122,4.78E+01,1.18,3,6297,4.26,1.369
5118,8589731,K03668.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.257,3.16E+03,84.63,1,5758,3.808,2.318
5119,2162994,K06260.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.10362,3.67E+05,51.08,1,5610,4.533,0.808
5120,4356766,K03669.01,,FALSE POSITIVE,FALSE POSITIVE,0.007,5.6803,4.46E+04,22.87,1,5761,4.426,1.029
5121,2167890,K03670.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.6395,1.27E+04,126.54,1,4839,2.761,9.278
5122,5384079,K02011.02,Kepler-348 c,CONFIRMED,CANDIDATE,0.947,5.02,6.79E+01,1.16,2,6388,4.244,1.402
5123,4935914,K03743.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.7904,6.01E+04,54.53,1,5780,4.438,1
5124,11303811,K03744.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.6271,1.55E+04,25.95,1,4970,4.665,0.591
5125,2437783,K03745.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.7617,4.66E+04,1044.28,1,5780,4.438,1
5126,12062660,K03746.01,,FALSE POSITIVE,FALSE POSITIVE,0,7.102,8.39E+04,51.67,1,5780,4.438,1
5127,9777087,K03747.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.9516,4.04E+04,34.03,1,5188,4.687,0.624
5128,5956776,K03821.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.5028,5.86E+05,156.15,1,7174,4.13,1.705
5129,8883727,K03822.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.8827,1.57E+03,25.8,1,5465,4.598,0.766
5130,4820550,K03823.01,,CANDIDATE,CANDIDATE,1,4.683,2.70E+03,5.8,1,5536,4.498,0.917
5131,6516874,K03824.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.1427,9.64E+04,50.7,1,6046,4.486,0.972
5132,11709124,K00435.03,Kepler-154 b,CONFIRMED,CANDIDATE,0.884,3.3613,5.77E+02,2.36,5,5688,4.415,0.971
5133,9161118,K03898.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.606,1.25E+04,27.42,1,4651,4.612,0.657
5134,3556229,K03899.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.25304,1.68E+05,56.89,1,5780,4.438,1
5135,11911580,K03900.01,,FALSE POSITIVE,FALSE POSITIVE,0,16.949,1.10E+03,28.76,1,6355,4.41,1.108
5136,9480535,K03901.01,Kepler-1527 b,CONFIRMED,CANDIDATE,0.998,13.775,1.18E+03,6.67,1,6092,4.056,1.759
5137,10583225,K03902.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.785,1.85E+02,1.46,1,5418,4.335,1.051
5138,5215251,K03903.01,,FALSE POSITIVE,FALSE POSITIVE,0,9.835,1.68E+03,32.67,1,5993,4.489,0.986
5139,10383696,K03671.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.19829,1.19E+05,46.24,1,5553,4.558,0.855
5140,9777090,K03672.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.6845,2.27E+05,39.18,1,5051,4.663,0.644
5141,11455484,K03673.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.0751,9.66E+04,31.9,1,5780,4.438,1
5142,2446623,K03674.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.5181,4.51E+04,40.63,1,6021,4.57,0.819
5143,9596089,K03675.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.3321,1.78E+05,51.9,1,5378,4.488,0.812
5144,5738506,K03676.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.0701,4.43E+05,73.07,2,5780,4.438,1
5145,9777087,K03747.02,,FALSE POSITIVE,FALSE POSITIVE,,2.949,3.27E+03,3.52,3,5193,4.689,0.621
5146,4247807,K03748.01,,FALSE POSITIVE,FALSE POSITIVE,0,8.0122,7.77E+03,34.84,1,5440,4.496,0.825
5147,11547869,K03749.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.7541,5.62E+04,12.85,1,3324,5.006,0.268
5148,7700590,K03750.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.2005,1.58E+04,39.32,1,5884,4.453,0.876
5149,9053086,K03751.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.5903,5.03E+04,63.68,1,6211,4.247,1.281
5150,3128552,K02055.02,Kepler-1073 c,CONFIRMED,CANDIDATE,0.986,2.8059,2.65E+02,1.79,2,5509,4.308,1.116
5151,5467113,K03825.01,,FALSE POSITIVE,FALSE POSITIVE,0,13.0719,5.58E+05,135.99,1,5641,3.948,1.776
5152,8240123,K03826.01,,FALSE POSITIVE,FALSE POSITIVE,0,25.08,1.69E+03,28.64,1,5641,4.554,0.85
5153,5114623,K03827.01,,FALSE POSITIVE,FALSE POSITIVE,,12.136,6.11E+03,37.23,,6029,4.452,0.998
5154,5114623,K03827.02,,FALSE POSITIVE,FALSE POSITIVE,,12.52,,,,,,
5155,10031907,K03828.01,,FALSE POSITIVE,FALSE POSITIVE,0,8.9793,1.16E+03,27.86,1,5697,4.539,0.892
5156,6525946,K02093.02,,CANDIDATE,CANDIDATE,0.98,2.504,1.88E+02,12.28,2,5096,2.435,8.769
5157,5480736,K03904.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.449,3.48E+02,23.05,1,6212,4.42,1.054
5158,8487748,K03905.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.194,6.07E+02,15.14,1,4304,4.675,0.566
5159,9892856,K03906.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.4382,7.38E+02,26.22,1,6167,4.428,1.107
5160,6795089,K07792.01,,FALSE POSITIVE,FALSE POSITIVE,0.133,2.488,9.38E+02,29.26,1,4895,2.674,9.529
5161,3340313,K03677.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.3367,6.35E+04,63.57,1,6441,4.367,1.165
5162,9892816,K01955.04,Kepler-342 c,CONFIRMED,CANDIDATE,0.993,3.536,1.97E+02,2.76,4,6297,4.26,1.369
5163,4150804,K03678.01,Kepler-1513 b,CONFIRMED,CANDIDATE,1,10.8771,7.59E+03,9.09,1,5650,4.313,1.044
5164,5021174,K03679.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.22222,3.60E+05,67.94,1,5780,4.438,1
5165,9025971,K03680.01,,CANDIDATE,CANDIDATE,0.999,6.7645,1.30E+04,11.49,1,5705,4.397,1.017
5166,2581316,K03681.01,Kepler-1514 b,CONFIRMED,CANDIDATE,0.86,21.306,9.15E+03,11.17,1,6259,4.385,1.167
5167,9973109,K02018.02,,CANDIDATE,CANDIDATE,0.995,5.686,1.60E+02,1.14,2,5657,4.401,0.911
5168,6314185,K03752.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.6316,1.85E+03,5.67,1,5977,4.318,1.068
5169,8620561,K03753.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.9874,3.40E+05,43.07,1,4768,4.661,0.591
5170,8937019,K03754.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.4283,1.63E+05,54.55,1,5780,4.438,1
5171,9896435,K03755.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.1396,6.53E+04,39.16,1,4848,4.55,0.764
5172,10352938,K03756.01,,FALSE POSITIVE,FALSE POSITIVE,0,7.1964,6.47E+03,13.68,1,6318,4.079,1.685
5173,10676927,K03830.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.9759,1.29E+05,27.35,1,5666,4.601,0.752
5174,5649836,K03831.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.47133,2.84E+05,63.46,1,5780,4.438,1
5175,7620660,K03832.01,,FALSE POSITIVE,FALSE POSITIVE,0,8.367,3.12E+03,7.97,1,5858,4.553,0.849
5176,3836399,K03834.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.7271,1.02E+03,17.63,1,4911,4.564,0.724
5177,2581554,K03835.01,Kepler-1521 b,CONFIRMED,CANDIDATE,0.995,3.1347,1.11E+03,2.58,1,4975,4.579,0.734
5178,3128552,K02055.03,,CANDIDATE,CANDIDATE,1,2.376,1.81E+02,1.48,3,5509,4.308,1.116
5179,10363115,K03908.01,,CANDIDATE,CANDIDATE,0.618,13.972,2.34E+02,2.23,1,5786,4.106,1.471
5180,5966810,K03909.01,,CANDIDATE,CANDIDATE,0.97,18.363,9.57E+02,4.74,1,6121,4.163,1.536
5181,10491062,K03910.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.11,7.77E+02,21.72,1,5310,4.565,0.791
5182,9761615,K03911.01,Kepler-1528 b,CONFIRMED,CANDIDATE,1,2.0917,1.68E+02,1.29,1,6040,4.469,0.999
5183,4058881,K03912.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,5.272,2.87E+02,1.69,1,6014,4.486,0.993
5184,6863158,K07793.01,,CANDIDATE,CANDIDATE,0.602,5.297,7.51E+01,0.46,1,3799,4.738,0.51
5185,2581316,K03681.02,,CANDIDATE,CANDIDATE,0.994,3.877,8.54E+01,1.25,2,6259,4.385,1.167
5186,8621353,K03682.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.9738,2.58E+05,62.52,1,5780,4.438,1
5187,10795103,K03683.01,Kepler-1515 b,CONFIRMED,CANDIDATE,1,16.2938,4.52E+03,9.17,1,6471,4.287,1.357
5188,9394601,K03684.01,,FALSE POSITIVE,FALSE POSITIVE,0.027,3.6097,1.38E+05,37.24,1,6344,4.481,0.962
5189,8494410,K03685.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.5707,2.13E+04,29.95,1,5914,4.421,0.987
5190,8494410,K03685.02,Kepler-1516 b,CONFIRMED,CANDIDATE,1,6.1394,2.48E+02,1.57,2,5914,4.421,0.987
5191,6863161,K03757.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.7585,6.32E+04,134.5,1,9191,3.973,2.619
5192,7840035,K03758.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.9406,2.89E+04,26.65,1,5496,4.405,0.927
5193,8543279,K03759.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.3665,1.02E+04,34.45,1,5402,4.581,0.815
5194,8047283,K03760.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.8764,6.79E+03,35.53,1,5861,4.546,0.865
5195,7090867,K07810.01,,FALSE POSITIVE,FALSE POSITIVE,0,11.959,6.37E+02,18.98,1,4852,2.896,7.797
5196,7612691,K03836.01,,FALSE POSITIVE,FALSE POSITIVE,0,11.01,1.32E+03,2.52,1,4969,4.713,0.543
5197,9761573,K03837.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.8754,2.23E+03,43.5,1,6540,4.321,1.183
5198,8042789,K03838.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.6752,1.19E+03,25.43,1,5452,4.572,0.815
